neuron,mean,sd
339,-0.686691,0.39708737
340,-0.7033214,0.39033327
341,-0.57145804,0.3644348
342,-0.67489207,0.33080178
343,-0.544318,0.33253044
344,-0.49573553,0.1504387
345,-0.8766314,0.42486164
346,-0.6632795,0.37377676
347,-0.4120675,0.14946975
348,-0.43606058,0.15023103
349,-0.8531948,0.43996817
350,-0.48772278,0.18145496
351,-0.5766564,0.33778387
352,-0.48842338,0.15194269
353,-0.7869807,0.557247
354,-0.66231817,0.390599
355,-0.4943935,0.16405866
356,-0.39939845,0.17526382
357,-0.8171718,0.5060084
358,-0.47191474,0.16195779
359,-0.46670553,0.1503782
360,-0.47926468,0.15714055
361,-0.71092474,0.4370332
362,-0.43172112,0.1526409
363,-0.42827758,0.1646594
364,-0.8589723,0.4447227
365,-0.51008314,0.14233574
366,-0.95559996,0.5382517
367,-0.5648799,0.15835348
368,-0.4735901,0.14767188
369,-0.6301948,0.37941834
370,-0.39996743,0.12979762
371,-0.46992964,0.14528288
372,-0.8767198,0.46288732
373,-0.481233,0.1695529
374,-0.7351311,0.45834067
375,-0.8753674,0.47651336
376,-0.6416217,0.3356547
377,-0.45329335,0.3095729
378,-0.46599963,0.15459229
379,-0.48010662,0.14931801
380,-0.4577276,0.1630965
381,-0.38586485,0.13019428
382,-0.6338045,0.43264055
383,-0.48254436,0.15857829
384,-0.6935618,0.4086813
385,-0.6203095,0.4083104
386,-0.41997486,0.14947766
387,-0.7987815,0.46821895
388,-0.46291393,0.15587871
389,-0.4529083,0.13200594
390,-0.51800984,0.16252829
391,-0.3894086,0.1386967
392,-0.69701755,0.39096287
393,-0.46665415,0.1694556
394,-0.3970446,0.1489612
395,-1.066717,0.53279173
396,-0.46364138,0.14803866
397,-0.55800027,0.35089606
398,-0.5249096,0.337152
399,-0.5159687,0.15661874
400,-0.64770335,0.37678614
401,-0.81521463,0.5123899
402,-0.4806274,0.15769531
403,-0.5093586,0.40955287
404,-0.68630445,0.4198678
405,-0.44369578,0.16142204
406,-0.58934253,0.16900524
407,-0.69830954,0.4041316
408,-0.9276881,0.46585843
409,-0.64074606,0.3898204
410,-0.49255574,0.16364756
411,-0.9167502,0.5154032
412,-0.5302126,0.13612054
413,-0.44439378,0.1436262
414,-0.7387079,0.50515616
415,-0.42363602,0.14876129
416,-0.52056605,0.14301327
417,-1.073766,0.5668023
418,-0.5632157,0.16175337
419,-0.5193623,0.15136863
420,-0.5467257,0.15455121
421,-0.5060347,0.16454455
422,-0.4828149,0.1510773
423,-0.59878975,0.3239718
424,-0.49746612,0.16894788
425,-0.47022232,0.16031863
426,-0.5234501,0.13699065
427,-0.66079116,0.3935789
428,-0.58589584,0.3599307
429,-0.5021528,0.13862765
430,-0.46517733,0.16907601
431,-0.6785336,0.38177142
432,-0.41912624,0.14197633
433,-0.693979,0.4297307
434,-0.83413196,0.43965808
435,-0.50938356,0.15270858
436,-0.48432386,0.16000356
437,-0.43262517,0.30189013
438,-0.5678457,0.31800792
439,-0.47936976,0.132366
440,-0.4946048,0.1451901
441,-0.61735404,0.3746782
442,-0.38774082,0.14627773
443,-0.44060472,0.1616839
444,-0.4144842,0.15818076
445,-0.4091051,0.12870234
446,-0.42577493,0.27186793
447,-0.4936806,0.17002353
448,-0.77690893,0.5113169
449,-0.4240961,0.16479366
450,-0.43087283,0.13568835
451,-0.62272453,0.46487242
452,-0.50807625,0.16247235
453,-0.48574126,0.1827475
454,-0.63450295,0.40935367
455,-0.67499393,0.43672287
456,-0.48836693,0.21876359
457,-0.7351632,0.48263445
458,-0.52977395,0.16076842
459,-0.3967529,0.11877117
460,-0.48879677,0.17552678
461,-0.46962032,0.18023236
462,-0.43264017,0.1563765
463,-0.47050112,0.14825416
464,-0.3845787,0.14205402
465,-0.5048148,0.1504598
466,-0.50260645,0.1494322
467,-0.73377293,0.4430803
468,-0.75001734,0.46166062
469,-0.64693695,0.3806092
470,-0.7709683,0.43985814
471,-0.5090904,0.15908612
472,-0.5074412,0.17451023
473,-0.858558,0.4940832
474,-0.7081243,0.41714874
475,-0.4803772,0.14491326
476,-0.4681963,0.15470637
477,-0.49335238,0.16948704
478,-0.9188206,0.48368645
479,-0.51202965,0.16734864
480,-0.40003112,0.13943958
481,-0.52247274,0.16221146
482,-0.66805184,0.47471514
483,-0.44563156,0.1456976
484,-0.41525966,0.15662536
485,-0.45338964,0.16030474
486,-0.8824043,0.4435419
487,-0.4810366,0.17303038
488,-0.39494783,0.14152212
489,-0.6976194,0.42725137
490,-0.6559999,0.42760354
491,-0.51170397,0.15259872
492,-0.51107144,0.16174302
493,-0.49095345,0.16035883
494,-0.5788044,0.3010657
495,-0.63113904,0.34857866
496,-0.3929753,0.15741014
497,-0.6471398,0.40815836
498,-0.70401144,0.37025097
499,-0.4748047,0.15963489
500,-0.23616827,0.14251035
501,-0.4326964,0.1362076
502,-0.7369088,0.394723
503,-0.54195535,0.16325414
504,-0.4801184,0.17049684
505,-0.4560887,0.14719035
506,-0.4584674,0.13856915
507,-0.38163525,0.22312818
508,-0.45127767,0.16732675
509,-0.6019101,0.378296
510,-0.45528138,0.14658034
511,-0.48565316,0.17222753
512,-0.45039818,0.16024734
513,-0.48071122,0.16010241
514,-0.41730827,0.15437615
